FieldID,CodingName,FigureName,Type,Label,Include
23509,concentration_of_small_vldl_particles,concentration_of_small_vldl_particles,Metabolic,Concentration of S-VLDL particles,0
23510,total_lipids_in_small_vldl,total_lipids_in_small_vldl,Metabolic,Total lipids in S-VLDL,0
23511,phospholipids_in_small_vldl,phospholipids_in_small_vldl,Metabolic,Phospholipids in S-VLDL,0
23512,cholesterol_in_small_vldl,cholesterol_in_small_vldl,Metabolic,Cholesterol in S-VLDL,0
23513,cholesteryl_esters_in_small_vldl,cholesteryl_esters_in_small_vldl,Metabolic,Cholesteryl esters in S-VLDL,0
23514,free_cholesterol_in_small_vldl,free_cholesterol_in_small_vldl,Metabolic,Free cholesterol in S-VLDL,0
23515,triglycerides_in_small_vldl,triglycerides_in_small_vldl,Metabolic,Triglycerides in S-VLDL,0
23516,concentration_of_very_small_vldl_particles,concentration_of_very_small_vldl_particles,Metabolic,Concentration of VS-VLDL particles,0
23517,total_lipids_in_very_small_vldl,total_lipids_in_very_small_vldl,Metabolic,Total lipids in VS-VLDL,0
23518,phospholipids_in_very_small_vldl,phospholipids_in_very_small_vldl,Metabolic,Phospholipids in VS-VLDL,0
23519,cholesterol_in_very_small_vldl,cholesterol_in_very_small_vldl,Metabolic,Cholesterol in VS-VLDL,0
23520,cholesteryl_esters_in_very_small_vldl,cholesteryl_esters_in_very_small_vldl,Metabolic,Cholesteryl esters in VS-VLDL,0
23521,free_cholesterol_in_very_small_vldl,free_cholesterol_in_very_small_vldl,Metabolic,Free cholesterol in VS-VLDL,0
23522,triglycerides_in_very_small_vldl,triglycerides_in_very_small_vldl,Metabolic,Triglycerides in VS-VLDL,0
23523,concentration_of_idl_particles,concentration_of_idl_particles,Metabolic,Concentration of IDL particles,0
23524,total_lipids_in_idl,total_lipids_in_idl,Metabolic,Total lipids in IDL,0
23525,phospholipids_in_idl,phospholipids_in_idl,Metabolic,Phospholipids in IDL,0
23526,cholesterol_in_idl,cholesterol_in_idl,Metabolic,Cholesterol in IDL,0
23527,cholesteryl_esters_in_idl,cholesteryl_esters_in_idl,Metabolic,Cholesteryl esters in IDL,0
23528,free_cholesterol_in_idl,free_cholesterol_in_idl,Metabolic,Free cholesterol in IDL,0
23529,triglycerides_in_idl,triglycerides_in_idl,Metabolic,Triglycerides in IDL,0
23530,concentration_of_large_ldl_particles,concentration_of_large_ldl_particles,Metabolic,Concentration of L-LDL particles,0
23531,total_lipids_in_large_ldl,total_lipids_in_large_ldl,Metabolic,Total lipids in L-LDL,0
23532,phospholipids_in_large_ldl,phospholipids_in_large_ldl,Metabolic,Phospholipids in L-LDL,0
23533,cholesterol_in_large_ldl,cholesterol_in_large_ldl,Metabolic,Cholesterol in L-LDL,0
23534,cholesteryl_esters_in_large_ldl,cholesteryl_esters_in_large_ldl,Metabolic,Cholesteryl esters in L-LDL,0
23535,free_cholesterol_in_large_ldl,free_cholesterol_in_large_ldl,Metabolic,Free cholesterol in L-LDL,0
23536,triglycerides_in_large_ldl,triglycerides_in_large_ldl,Metabolic,Triglycerides in L-LDL,0
23537,concentration_of_medium_ldl_particles,concentration_of_medium_ldl_particles,Metabolic,Concentration of M-LDL particles,0
23538,total_lipids_in_medium_ldl,total_lipids_in_medium_ldl,Metabolic,Total lipids in M-LDL,0
23539,phospholipids_in_medium_ldl,phospholipids_in_medium_ldl,Metabolic,Phospholipids in M-LDL,0
23540,cholesterol_in_medium_ldl,cholesterol_in_medium_ldl,Metabolic,Cholesterol in M-LDL,0
23541,cholesteryl_esters_in_medium_ldl,cholesteryl_esters_in_medium_ldl,Metabolic,Cholesteryl esters in M-LDL,0
23542,free_cholesterol_in_medium_ldl,free_cholesterol_in_medium_ldl,Metabolic,Free cholesterol in M-LDL,0
23543,triglycerides_in_medium_ldl,triglycerides_in_medium_ldl,Metabolic,Triglycerides in M-LDL,0
23544,concentration_of_small_ldl_particles,concentration_of_small_ldl_particles,Metabolic,Concentration of S-LDL particles,0
23545,total_lipids_in_small_ldl,total_lipids_in_small_ldl,Metabolic,Total lipids in S-LDL,0
23546,phospholipids_in_small_ldl,phospholipids_in_small_ldl,Metabolic,Phospholipids in S-LDL,0
23547,cholesterol_in_small_ldl,cholesterol_in_small_ldl,Metabolic,Cholesterol in S-LDL,0
23548,cholesteryl_esters_in_small_ldl,cholesteryl_esters_in_small_ldl,Metabolic,Cholesteryl esters in S-LDL,0
23549,free_cholesterol_in_small_ldl,free_cholesterol_in_small_ldl,Metabolic,Free cholesterol in S-LDL,0
23550,triglycerides_in_small_ldl,triglycerides_in_small_ldl,Metabolic,Triglycerides in S-LDL,0
23551,concentration_of_very_large_hdl_particles,concentration_of_very_large_hdl_particles,Metabolic,Concentration of VL-HDL particles,0
23552,total_lipids_in_very_large_hdl,total_lipids_in_very_large_hdl,Metabolic,Total lipids in VL-HDL,0
23553,phospholipids_in_very_large_hdl,phospholipids_in_very_large_hdl,Metabolic,Phospholipids in VL-HDL,0
23554,cholesterol_in_very_large_hdl,cholesterol_in_very_large_hdl,Metabolic,Cholesterol in VL-HDL,0
23555,cholesteryl_esters_in_very_large_hdl,cholesteryl_esters_in_very_large_hdl,Metabolic,Cholesteryl esters in VL-HDL,0
23556,free_cholesterol_in_very_large_hdl,free_cholesterol_in_very_large_hdl,Metabolic,Free cholesterol in VL-HDL,0
23557,triglycerides_in_very_large_hdl,triglycerides_in_very_large_hdl,Metabolic,Triglycerides in VL-HDL,0
23558,concentration_of_large_hdl_particles,concentration_of_large_hdl_particles,Metabolic,Concentration of L-HDL particles,0
23559,total_lipids_in_large_hdl,total_lipids_in_large_hdl,Metabolic,Total lipids in L-HDL,0
23560,phospholipids_in_large_hdl,phospholipids_in_large_hdl,Metabolic,Phospholipids in L-HDL,0
23561,cholesterol_in_large_hdl,cholesterol_in_large_hdl,Metabolic,Cholesterol in L-HDL,0
23562,cholesteryl_esters_in_large_hdl,cholesteryl_esters_in_large_hdl,Metabolic,Cholesteryl esters in L-HDL,0
23563,free_cholesterol_in_large_hdl,free_cholesterol_in_large_hdl,Metabolic,Free cholesterol in L-HDL,0
23564,triglycerides_in_large_hdl,triglycerides_in_large_hdl,Metabolic,Triglycerides in L-HDL,0
23565,concentration_of_medium_hdl_particles,concentration_of_medium_hdl_particles,Metabolic,Concentration of M-HDL particles,0
23566,total_lipids_in_medium_hdl,total_lipids_in_medium_hdl,Metabolic,Total lipids in M-HDL,0
23567,phospholipids_in_medium_hdl,phospholipids_in_medium_hdl,Metabolic,Phospholipids in M-HDL,0
